sepal_length,sepal_width,petal_length,petal_width,species
0.2,0.923076923076923,0.021276595744680823,0.0,Iris-setosa
0.12000000000000029,0.5384615384615384,0.021276595744680823,0.0,Iris-setosa
0.040000000000000216,0.6923076923076924,0.0,0.0,Iris-setosa
0.0,0.6153846153846154,0.042553191489361694,0.0,Iris-setosa
0.16000000000000014,1.0,0.021276595744680823,0.0,Iris-setosa
0.9600000000000002,0.6923076923076924,0.723404255319149,0.5217391304347826,Iris-versicolor
0.7200000000000003,0.6923076923076924,0.6808510638297872,0.5652173913043479,Iris-versicolor
0.9200000000000003,0.6153846153846154,0.7659574468085107,0.5652173913043479,Iris-versicolor
0.36000000000000015,0.0,0.574468085106383,0.47826086956521746,Iris-versicolor
0.7600000000000001,0.3846153846153845,0.702127659574468,0.5652173913043479,Iris-versicolor
0.68,0.769230769230769,1.0,1.0,Iris-virginica
0.4800000000000001,0.3076923076923079,0.8085106382978723,0.7391304347826088,Iris-virginica
1.0,0.5384615384615384,0.9787234042553192,0.8260869565217392,Iris-virginica
0.68,0.4615384615384615,0.9148936170212765,0.6956521739130436,Iris-virginica
0.7600000000000001,0.5384615384615384,0.9574468085106382,0.8695652173913044,Iris-virginica
